file,total bibls,m-level,j-level,a-level,s-level,u-level
2212-5019_beh_fulltextxml_COM-9000000212.xml,11,7,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000213.xml,26,8,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000214.xml,12,6,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000215.xml,15,13,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000216.xml,25,19,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000217.xml,28,22,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000218.xml,13,11,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000219.xml,7,7,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000223.xml,26,24,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000224.xml,21,15,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000225.xml,18,18,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000226.xml,57,49,4,4,0,0
2212-5019_beh_fulltextxml_COM-9000000227.xml,13,7,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000228.xml,58,44,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000229.xml,43,39,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000231.xml,13,11,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000232.xml,3,3,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000233.xml,37,21,8,8,0,0
2212-5019_beh_fulltextxml_COM-9000000234.xml,38,32,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000235.xml,21,19,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000237.xml,25,23,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000239.xml,76,48,14,14,0,0
2212-5019_beh_fulltextxml_COM-9000000240.xml,31,21,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000241.xml,57,37,10,10,0,0
2212-5019_beh_fulltextxml_COM-9000000242.xml,25,25,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000244.xml,22,16,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000245.xml,31,27,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000248.xml,28,24,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000249.xml,26,24,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000251.xml,24,24,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000252.xml,47,29,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000253.xml,10,10,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000254.xml,15,15,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000255.xml,50,32,9,9,0,0
2212-5019_beh_fulltextxml_COM-9000000256.xml,24,20,2,2,0,0
2212-5019_beh_fulltextxml_COM-9000000258.xml,12,10,1,1,0,0
2212-5019_beh_fulltextxml_COM-9000000259.xml,17,17,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000261.xml,29,23,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000262.xml,40,30,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000263.xml,19,19,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000264.xml,27,17,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000265.xml,15,15,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000266.xml,27,21,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000267.xml,45,31,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000268.xml,24,10,7,7,0,0
2212-5019_beh_fulltextxml_COM-9000000271.xml,56,46,5,5,0,0
2212-5019_beh_fulltextxml_COM-9000000274.xml,29,23,3,3,0,0
2212-5019_beh_fulltextxml_COM-9000000276.xml,2,2,0,0,0,0
2212-5019_beh_fulltextxml_COM-9000000278.xml,20,18,1,1,0,0
