file,total bibls,m-level,j-level,a-level,s-level,u-level
1877-0339_bec_fulltextxml_SIM-00221.xml,6,0,1,5,0,0
1877-0339_bec_fulltextxml_SIM-00222.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00223.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00224.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00225.xml,0,0,0,0,0,0
1877-0339_bec_fulltextxml_SIM-00226.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00227.xml,2,0,0,2,0,0
1877-0339_bec_fulltextxml_SIM-00228.xml,2,1,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00229.xml,4,0,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00230.xml,18,1,3,14,0,0
1877-0339_bec_fulltextxml_SIM-00231.xml,5,1,0,4,0,0
1877-0339_bec_fulltextxml_SIM-00232.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00233.xml,1,0,0,1,0,0
1877-0339_bec_fulltextxml_SIM-00234.xml,13,0,5,8,0,0
1877-0339_bec_fulltextxml_SIM-00235.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00236.xml,8,0,0,8,0,0
1877-0339_bec_fulltextxml_SIM-00237.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00238.xml,3,0,0,3,0,0
1877-0339_bec_fulltextxml_SIM-00239.xml,8,0,1,7,0,0
1877-0339_bec_fulltextxml_SIM-00240.xml,5,1,1,3,0,0
1877-0339_bec_fulltextxml_SIM-00241.xml,3,1,1,1,0,0
1877-0339_bec_fulltextxml_SIM-00242.xml,6,0,0,6,0,0
1877-0339_bec_fulltextxml_SIM-00243.xml,5,0,1,4,0,0
1877-0339_bec_fulltextxml_SIM-00244.xml,5,0,0,5,0,0
1877-0339_bec_fulltextxml_SIM-00245.xml,5,2,1,2,0,0
1877-0339_bec_fulltextxml_SIM-00246.xml,7,0,2,5,0,0
